id,category,type,registration_number,deletion_date,registration,country
1166162,AVREG_DATA.CATEGORIES.AIRPLANE,L 410,ODK,2011-05-02T07:00:00.000Z,OK-ODK,CZ
1166165,AVREG_DATA.CATEGORIES.AIRPLANE,L 410,ODL,2011-05-09T07:30:00.000Z,OK-ODL,CZ
1166531,AVREG_DATA.CATEGORIES.GLIDER,ASTIR CS,3322,,OK-3322,CZ
1166561,AVREG_DATA.CATEGORIES.GLIDER,ASTIR CS,5225,,OK-5225,CZ
1167014,AVREG_DATA.CATEGORIES.GLIDER,ASW 20,6625,,OK-6625,CZ
1167327,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna T303,PAR,,OK-PAR,CZ
1167391,AVREG_DATA.CATEGORIES.POWERED_GLIDER,VENTUS,1972,,OK-1972,CZ
1167487,AVREG_DATA.CATEGORIES.GLIDER,DG-200/17,6252,,OK-6252,CZ
1167552,AVREG_DATA.CATEGORIES.GLIDER,SZD 48,5259,,OK-5259,CZ
1167597,AVREG_DATA.CATEGORIES.AIRPLANE,WT9 Dynamic LSA,WOW,,OK-WOW,CZ
1167749,AVREG_DATA.CATEGORIES.AIRPLANE,Tecnam P2002 JF,SAK,,OK-SAK,CZ
1168006,AVREG_DATA.CATEGORIES.GLIDER,Standard Cirrus,1075,,OK-1075,CZ
1168043,AVREG_DATA.CATEGORIES.POWERED_GLIDER,DG-400,1304,2022-10-14T23:00:00.000Z,OK-1304,CZ
1168044,AVREG_DATA.CATEGORIES.GLIDER,ASW 19,7980,,OK-7980,CZ
1168045,AVREG_DATA.CATEGORIES.GLIDER,ASW 24 ,7724,,OK-7724,CZ
1168073,AVREG_DATA.CATEGORIES.HELICOPTER,R 44,TES,,OK-TES,CZ
1168103,AVREG_DATA.CATEGORIES.GLIDER,ASW 15,8646,,OK-8646,CZ
1168508,AVREG_DATA.CATEGORIES.GLIDER,Standard Cirrus,9443,,OK-9443,CZ
1168857,AVREG_DATA.CATEGORIES.GLIDER,Standard Cirrus,9779,,OK-9779,CZ
1169056,AVREG_DATA.CATEGORIES.AIRPLANE,Cessna 510,OBR,,OK-OBR,CZ
