aircraft_type,country_prefix,registration_number,category
Z 126,OK,IFG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,IFJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,IHK,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,IHQ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,IMI,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,MFX,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KNR,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,JLF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,JLE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,JLB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,JLA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,JHE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,JHC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,JHA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,JGD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,IVA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,IMG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,IFH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KMM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,HLJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,DVG,AVREG_DATA.CATEGORIES.AIRPLANE
LS 1-d,OK,3301,AVREG_DATA.CATEGORIES.GLIDER
Z 142,OK,KNC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,KNH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,KNL,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,LNB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,LND,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,MNG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,MNE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,MNA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,LNL,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,LNK,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,LNI,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,LNH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,LNG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,NOD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,NOC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,NOB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,NOA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,MNJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,NOP,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,NOO,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,NON,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,NOM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,NOL,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,NOJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,NOH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,NOF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,NOE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,LNC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,LNA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,OPC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,OPE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,OPJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,OPL,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,OPK,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,OPG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,OPD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,OPB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,XNB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,WNL,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,VNC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,VNB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,SNZ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,PNI,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,PNH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,PNE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,PND,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,PPM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,PNM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,PNL,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,PNK,AVREG_DATA.CATEGORIES.AIRPLANE
Z 142,OK,OPA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 143,OK,XYJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 143,OK,ZOE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,CTA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,CTB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,JCA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KMO,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KMR,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KNB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,LMJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,LMI,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,LMH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,LMG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,LMF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,LME,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,LMD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,LMB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,LLF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KNX,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KNN,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KNM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KNG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KNF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KND,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MGD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MFY,AVREG_DATA.CATEGORIES.AIRPLANE
Z 126,OK,MFV,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MFQ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MFP,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MFO,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MFK,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MFE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,LNN,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MRA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MQN,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MQM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MQL,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MQJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MQI,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MQH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MQG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MQE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MQB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MPV,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MPT,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MPP,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MPK,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MPJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MPG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MPB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MPA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MHC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MGX,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MGQ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MGM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MGK,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MGJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,MGF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KMS,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KMP,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KMK,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KMJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,KMB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 226,OK,JGT,AVREG_DATA.CATEGORIES.AIRPLANE
Z 242,OK,VHZ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 326,OK,OTA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 326,OK,OTB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 326,OK,SEN,AVREG_DATA.CATEGORIES.AIRPLANE
Z 326,OK,OTE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 326,OK,OTD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 326,OK,LHA,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna FR 172,OK,JAS,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna FR 172,OK,TEC,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna FR 172,OK,DVM,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna FR 172,OK,AKM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 42,OK,ESO,AVREG_DATA.CATEGORIES.AIRPLANE
Z 42,OK,ILP,AVREG_DATA.CATEGORIES.AIRPLANE
Z 42,OK,JSF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 42,OK,JSC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 42,OK,JSE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 42,OK,JSD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 42,OK,ILQ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 42,OK,ZSC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 42,OK,ZSD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 42,OK,ZSE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 42,OK,ZSH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 42,OK,ZSF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,FOJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,KOS,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,FOK,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,FOL,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,FOM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,WEL,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,WOC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,WOE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,WOH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,XOG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,XOE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,XOD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,XOA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,WOK,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,WOJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,WOI,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,WOF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,WOD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,WOA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,COA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,COG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,DOE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,DOD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,DOC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,DOB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,DOA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,COC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,COD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,FOG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,FOF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,EOI,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,EOH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,EOG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,EOF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,EOE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,EOD,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,EOC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,DOJ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,DOI,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,DOH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,DOG,AVREG_DATA.CATEGORIES.AIRPLANE
Z 50,OK,FAI,AVREG_DATA.CATEGORIES.AIRPLANE
Z 50,OK,SPR,AVREG_DATA.CATEGORIES.AIRPLANE
Z 50,OK,TRM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 50,OK,XRC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 50,OK,XRB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 50,OK,XRA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 50,OK,TRQ,AVREG_DATA.CATEGORIES.AIRPLANE
Z 50,OK,XRK,AVREG_DATA.CATEGORIES.AIRPLANE
Z 526,OK,ZRA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 526,OK,YES,AVREG_DATA.CATEGORIES.AIRPLANE
Z 526,OK,ERE,AVREG_DATA.CATEGORIES.AIRPLANE
Z 526,OK,EHO,AVREG_DATA.CATEGORIES.AIRPLANE
Z 526,OK,CXC,AVREG_DATA.CATEGORIES.AIRPLANE
Z 526,OK,CRA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 526,OK,CXB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 726,OK,DRC,AVREG_DATA.CATEGORIES.AIRPLANE
L 410,OK,PDO,AVREG_DATA.CATEGORIES.AIRPLANE
Schweizer 269,OK,PIM,AVREG_DATA.CATEGORIES.HELICOPTER
Be-50,OK,EAA,AVREG_DATA.CATEGORIES.AIRPLANE
L 610,OK,UZB,AVREG_DATA.CATEGORIES.AIRPLANE
L 610,OK,XZA,AVREG_DATA.CATEGORIES.AIRPLANE
EV-97 VLA,OK,VLA,AVREG_DATA.CATEGORIES.AIRPLANE
BAST 900,OK,8003,
Thunder ,OK,9006,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
R 44,OK,ZIO,AVREG_DATA.CATEGORIES.HELICOPTER
R 44,OK,EIN,AVREG_DATA.CATEGORIES.HELICOPTER
VSM 40,OK,6203,AVREG_DATA.CATEGORIES.GLIDER
Thunder ,OK,9007,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
LG 425,OK,5977,AVREG_DATA.CATEGORIES.GLIDER
LG 425,OK,5988,AVREG_DATA.CATEGORIES.GLIDER
LG 425,OK,5333,AVREG_DATA.CATEGORIES.GLIDER
LG 425,OK,5399,AVREG_DATA.CATEGORIES.GLIDER
LG 425,OK,5372,AVREG_DATA.CATEGORIES.GLIDER
JAK11,OK,JZE,AVREG_DATA.CATEGORIES.AIRPLANE
JODEL F11,OK,YXJ,AVREG_DATA.CATEGORIES.AIRPLANE
PIPER PA28,OK,UKD,AVREG_DATA.CATEGORIES.AIRPLANE
LG 125,OK,0744,AVREG_DATA.CATEGORIES.GLIDER
LG 125,OK,1968,AVREG_DATA.CATEGORIES.GLIDER
LG 125,OK,1765,AVREG_DATA.CATEGORIES.GLIDER
LG 125,OK,0771,AVREG_DATA.CATEGORIES.GLIDER
LG 125,OK,0924,AVREG_DATA.CATEGORIES.GLIDER
LG 125,OK,0937,AVREG_DATA.CATEGORIES.GLIDER
LF 109,OK,2215,AVREG_DATA.CATEGORIES.GLIDER
LF 109,OK,3903,AVREG_DATA.CATEGORIES.GLIDER
LF 109,OK,3908,AVREG_DATA.CATEGORIES.GLIDER
M 28,OK,2903,AVREG_DATA.CATEGORIES.GLIDER
Cessna 172,OK,GKA,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,GKH,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,HKD,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,MLA,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,CFT,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,KKD,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,KKA,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,JKF,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,IKQ,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,GKG,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,EKK,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,FKU,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,FKD,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,EKR,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 172,OK,DKK,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 152,OK,IKA,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 152,OK,LKB,AVREG_DATA.CATEGORIES.AIRPLANE
L 410,OK,WYI,AVREG_DATA.CATEGORIES.AIRPLANE
L 410,OK,WDT,AVREG_DATA.CATEGORIES.AIRPLANE
L 410,OK,LRA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 137 T,OK,UJL,AVREG_DATA.CATEGORIES.AIRPLANE
Z 137 T,OK,YJH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 137 T,OK,XJA,AVREG_DATA.CATEGORIES.AIRPLANE
Z 137 T,OK,EJA,AVREG_DATA.CATEGORIES.AIRPLANE
LG 130,OK,1242,AVREG_DATA.CATEGORIES.GLIDER
LG 130,OK,1260,AVREG_DATA.CATEGORIES.GLIDER
Cessna 150 ,OK,MAP,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 150 ,OK,ROC,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 150 ,OK,XKH,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 150 ,OK,WKF,AVREG_DATA.CATEGORIES.AIRPLANE
KANIA,OK,VIL,AVREG_DATA.CATEGORIES.HELICOPTER
Z 37,OK,PJN,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37 T,OK,MFM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37 T,OK,RJM,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37 T,OK,RJJ,AVREG_DATA.CATEGORIES.AIRPLANE
BEECH 58,OK,PHR,AVREG_DATA.CATEGORIES.AIRPLANE
BEECH 58,OK,SLI,AVREG_DATA.CATEGORIES.AIRPLANE
LS 1-f,OK,3137,AVREG_DATA.CATEGORIES.GLIDER
HPH Glasflügel 304,OK,2000,AVREG_DATA.CATEGORIES.GLIDER
HPH Glasflügel 304,OK,9304,AVREG_DATA.CATEGORIES.GLIDER
HPH Glasflügel 304,OK,7777,AVREG_DATA.CATEGORIES.GLIDER
Sokol M1C,OK,CSR,AVREG_DATA.CATEGORIES.AIRPLANE
Z 24,OK,8560,AVREG_DATA.CATEGORIES.GLIDER
Z 24,OK,8565,AVREG_DATA.CATEGORIES.GLIDER
DA20,OK,BLD,AVREG_DATA.CATEGORIES.AIRPLANE
Duo Discus,OK,8310,AVREG_DATA.CATEGORIES.GLIDER
EUROPA XS,OK,EUR,AVREG_DATA.CATEGORIES.AIRPLANE
BB-S,OK,9053,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
AV 2,OK,8036,AVREG_DATA.CATEGORIES.HOT_AIR_AIRSHIP
Cessna 414,OK,AAV,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 414,OK,CIA,AVREG_DATA.CATEGORIES.AIRPLANE
L-213,OK,2920,AVREG_DATA.CATEGORIES.GLIDER
Cessna 210,OK,ABS,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna 210,OK,HIT,AVREG_DATA.CATEGORIES.AIRPLANE
LAK-12,OK,1212,AVREG_DATA.CATEGORIES.GLIDER
HPH Glasflügel 304,OK,7304,AVREG_DATA.CATEGORIES.GLIDER
MAULE,OK,ESM,AVREG_DATA.CATEGORIES.AIRPLANE
AB1,OK,3010,
VT 116,OK,7414,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,7445,AVREG_DATA.CATEGORIES.GLIDER
Z 37,OK,CKO,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,GJR,AVREG_DATA.CATEGORIES.AIRPLANE
Z 526,OK,ZRC,AVREG_DATA.CATEGORIES.AIRPLANE
BB,OK,2011,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
L 13,OK,5611,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,5501,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,2377,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,3223,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,5667,AVREG_DATA.CATEGORIES.GLIDER
L 23,OK,2730,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,8428,AVREG_DATA.CATEGORIES.GLIDER
Z 143,OK,BVB,AVREG_DATA.CATEGORIES.AIRPLANE
Z 43,OK,XOF,AVREG_DATA.CATEGORIES.AIRPLANE
Z 50,OK,ARH,AVREG_DATA.CATEGORIES.AIRPLANE
Z 526,OK,EMT,AVREG_DATA.CATEGORIES.AIRPLANE
L 13,OK,2732,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,7241,AVREG_DATA.CATEGORIES.GLIDER
ASW 20,OK,6722,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,2058,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Standard Cirrus,OK,0732,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,2294,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,7707,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,2053,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,7501,AVREG_DATA.CATEGORIES.GLIDER
VT 116,OK,7413,AVREG_DATA.CATEGORIES.GLIDER
VENTUS,OK,4612,AVREG_DATA.CATEGORIES.POWERED_GLIDER
LS8,OK,7007,AVREG_DATA.CATEGORIES.GLIDER
SU-29,OK,HXA,AVREG_DATA.CATEGORIES.AIRPLANE
SU-31M,OK,HXB,AVREG_DATA.CATEGORIES.AIRPLANE
SU-31M,OK,HXC,AVREG_DATA.CATEGORIES.AIRPLANE
L 13,OK,7711,AVREG_DATA.CATEGORIES.GLIDER
ASW 15,OK,1911,AVREG_DATA.CATEGORIES.GLIDER
VT 16,OK,2429,AVREG_DATA.CATEGORIES.GLIDER
PIPER PA34 ,OK,FZZ,AVREG_DATA.CATEGORIES.AIRPLANE
BB JAGER,OK,1878,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Cessna F 150,OK,TEK,AVREG_DATA.CATEGORIES.AIRPLANE
Standard Cirrus,OK,3265,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,3000,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Standard Cirrus,OK,0737,AVREG_DATA.CATEGORIES.GLIDER
LAK-19,OK,1919,AVREG_DATA.CATEGORIES.POWERED_GLIDER
EC 135,OK,DSA,AVREG_DATA.CATEGORIES.HELICOPTER
Standard Cirrus,OK,4581,AVREG_DATA.CATEGORIES.GLIDER
VT 16,OK,2412,AVREG_DATA.CATEGORIES.GLIDER
Z 143,OK,HOP,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna F 152,OK,NAV,AVREG_DATA.CATEGORIES.AIRPLANE
Z 37,OK,AIX,AVREG_DATA.CATEGORIES.AIRPLANE
L 200,OK,NXX,AVREG_DATA.CATEGORIES.AIRPLANE
Standard Cirrus,OK,1193,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,3004,AVREG_DATA.CATEGORIES.GLIDER
M 35,OK,2403,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,6493,AVREG_DATA.CATEGORIES.GLIDER
Cessna FR 172,OK,RTT,AVREG_DATA.CATEGORIES.AIRPLANE
ASW 19,OK,1900,AVREG_DATA.CATEGORIES.GLIDER
Cessna 421,OK,SUR,AVREG_DATA.CATEGORIES.AIRPLANE
VENTUS,OK,4609,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,7077,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,9458,AVREG_DATA.CATEGORIES.GLIDER
BB,OK,3050,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
LAK-17,OK,1507,AVREG_DATA.CATEGORIES.POWERED_GLIDER
LAK-17,OK,2210,AVREG_DATA.CATEGORIES.POWERED_GLIDER
L 13,OK,5710,AVREG_DATA.CATEGORIES.GLIDER
fire balloons G,OK,4001,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
ASW 15,OK,1777,AVREG_DATA.CATEGORIES.GLIDER
LAK-17,OK,7171,AVREG_DATA.CATEGORIES.GLIDER
L 40,OK,NPS,AVREG_DATA.CATEGORIES.AIRPLANE
ASW 15,OK,8641,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,2287,AVREG_DATA.CATEGORIES.GLIDER
AS 355 ,OK,DSN,AVREG_DATA.CATEGORIES.HELICOPTER
Standard Cirrus,OK,0103,AVREG_DATA.CATEGORIES.GLIDER
CAMERON HOT AIR BALLOONS,OK,3007,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
