aircraft_type,country_prefix,registration_number,category
Standard Cirrus,OK,6557,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,6608,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,7575,AVREG_DATA.CATEGORIES.GLIDER
Standard Cirrus,OK,8888,AVREG_DATA.CATEGORIES.GLIDER
Cessna 206,OK,EKT,AVREG_DATA.CATEGORIES.AIRPLANE
DISCUS CS,OK,0365,AVREG_DATA.CATEGORIES.GLIDER
DISCUS CS,OK,1302,AVREG_DATA.CATEGORIES.GLIDER
DISCUS CS,OK,0370,AVREG_DATA.CATEGORIES.GLIDER
DISCUS CS,OK,0416,AVREG_DATA.CATEGORIES.GLIDER
DISCUS CS,OK,0372,AVREG_DATA.CATEGORIES.GLIDER
DISCUS CS,OK,9302,AVREG_DATA.CATEGORIES.GLIDER
DISCUS CS,OK,9306,AVREG_DATA.CATEGORIES.GLIDER
DISCUS CS,OK,9324,AVREG_DATA.CATEGORIES.GLIDER
DISCUS CS,OK,4300,AVREG_DATA.CATEGORIES.GLIDER
DISCUS CS,OK,5326,AVREG_DATA.CATEGORIES.GLIDER
DISCUS CS,OK,5320,AVREG_DATA.CATEGORIES.GLIDER
Cessna 182,OK,LKP,AVREG_DATA.CATEGORIES.AIRPLANE
fire balloons G,OK,0020,AVREG_DATA.CATEGORIES.HOT_AIR_BALLOON
Janus,OK,7300,AVREG_DATA.CATEGORIES.GLIDER
Cessna F 172,OK,BZF,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna FR 172,OK,EKM,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna F 172,OK,XKG,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna F 172,OK,VKF,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna F 150,OK,XKJ,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna F 150,OK,HKC,AVREG_DATA.CATEGORIES.AIRPLANE
Cessna F 150,OK,EKI,AVREG_DATA.CATEGORIES.AIRPLANE
L 13,OK,8704,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,8702,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,8708,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,8712,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,8802,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9252,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,8829,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,8828,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,8827,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,8824,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9822,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9821,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9722,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9720,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9718,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9717,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9713,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9851,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9849,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9848,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9847,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9829,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9828,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9825,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9824,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9712,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9711,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9709,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9707,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9706,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9705,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,9704,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,7507,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,8801,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,8710,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3827,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4811,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4810,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4809,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4808,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4807,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4805,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4804,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4821,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3800,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4818,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4817,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4814,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4812,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4802,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6202,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4720,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4718,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4716,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4714,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4712,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,7706,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,7705,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,7704,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,7702,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,7700,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6840,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6839,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6838,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6836,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6819,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6818,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6816,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6815,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6814,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6813,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,5676,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6808,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6807,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6806,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6805,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6804,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6706,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6705,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6704,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6700,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,6304,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4833,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4832,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4831,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4830,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4829,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4822,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4708,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4704,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,4702,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3828,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,0302,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,0304,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,0905,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,0904,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,0906,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,0910,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1800,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1730,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1702,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1700,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,0921,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,0920,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,0917,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,0915,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1817,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1816,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1813,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1812,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1807,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1806,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,1804,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3822,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3821,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3819,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3814,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3813,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3809,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3807,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3806,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3802,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3704,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3702,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,3700,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2824,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2819,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2818,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2817,AVREG_DATA.CATEGORIES.GLIDER
L 13,OK,2816,AVREG_DATA.CATEGORIES.GLIDER
